"nodeTO","nodeFROM","nodeWEIGHT"
"cat","dog","1"
"cat","giraffe","1"
"cat","elephant","1"
"cat","monkey","1"
"cat","rat","1"
"cat","bird","1"
"cat","snake","1"
"cat","cow","1"
"cat","goat","1"
"cat","alpaca","1"
"cat","pig","1"
"cat","shark","1"
"cat","fish","1"
"cat","turtle","1"
"cat","mouse","1"
"cat","bear","1"
"cat","deer","1"
"cat","zebra","1"
"cat","lion","1"
"cat","tiger","1"
"cat","starfish","1"
"cat","horse","1"
"cat","ant","1"
"cat","jaguar","1"
"cat","dolphin","1"
"cat","kangaroo","1"
"cat","racoon","1"
"cat","spider","1"
"cat","squirrel","1"
"cat","bunny","1"
"cat","roach","1"
"cat","sloth","1"
"cat","whale","1"
"cat","chimp","1"
"cat","ape","1"
"cat","gorilla","1"
"cat","frog","1"
"cat","cheetah","1"
"cat","alligator","1"
"cat","sheep","1"
"cat","llama","1"
"cat","lamb","1"
"cat","cougar","1"
"cat","koala","1"
"cat","lemur","1"
"cat","owl","1"
"cat","dinosaur","1"
"cat","gerbil","1"
"cat","rooster","1"
"cat","girrafe","1"
"cat","fly","1"
"cat","panther","1"
"cat","dragon","1"
"cat","seagull","1"
"cat","lobster","1"
"cat","turlte","1"
"cat","cricket","1"
"cat","pony","1"
"cat","goldfish","1"
"cat","crocodile","1"
"cat","aligator","1"
"cat","cheeta","1"
"cat","ox","1"
"dog","cat","1"
"dog","giraffe","1"
"dog","elephant","1"
"dog","monkey","1"
"dog","chicken","1"
"dog","donkey","1"
"dog","rat","1"
"dog","bird","1"
"dog","snake","1"
"dog","rhino","1"
"dog","buffalo","1"
"dog","cow","1"
"dog","alpaca","1"
"dog","pig","1"
"dog","fish","1"
"dog","penguin","1"
"dog","turtle","1"
"dog","mouse","1"
"dog","bear","1"
"dog","deer","1"
"dog","lion","1"
"dog","tiger","1"
"dog","fox","1"
"dog","horse","1"
"dog","ant","1"
"dog","moose","1"
"dog","polar.bear","1"
"dog","parrot","1"
"dog","ferret","1"
"dog","lizard","1"
"dog","butterfly","1"
"dog","eagle","1"
"dog","koala.bear","1"
"dog","hawk","1"
"dog","rabbit","1"
"dog","hamster","1"
"dog","guinea.pig","1"
"dog","duck","1"
"dog","wolf","1"
"dog","bat","1"
"dog","hog","1"
"dog","hippo","1"
"dog","panda","1"
"dog","otter","1"
"dog","seal","1"
"dog","llama","1"
"dog","hare","1"
"dog","peacock","1"
"dog","hedgehog","1"
"dog","goose","1"
"dog","fly","1"
"dog","chinchilla","1"
