"nodeTO","nodeFROM","nodeWEIGHT"
"cat","dog","1"
"cat","giraffe","1"
"cat","elephant","1"
"cat","monkey","1"
"cat","rat","1"
"cat","bird","1"
"cat","snake","1"
"cat","rhino","1"
"cat","cow","1"
"cat","goat","1"
"cat","alpaca","1"
"cat","pig","1"
"cat","fish","1"
"cat","turtle","1"
"cat","bears","1"
"cat","mouse","1"
"cat","raccoon","1"
"cat","bear","1"
"cat","deer","1"
"cat","zebra","1"
"cat","lion","1"
"cat","tiger","1"
"cat","horse","1"
"cat","moose","1"
"cat","armadillo","1"
"cat","squirrel","1"
"cat","flamingo","1"
"cat","parrot","1"
"cat","bunny","1"
"cat","eagle","1"
"cat","bull","1"
"cat","chimp","1"
"cat","ape","1"
"cat","rabbit","1"
"cat","hamster","1"
"cat","guinea.pig","1"
"cat","frog","1"
"cat","possum","1"
"cat","cheetah","1"
"cat","human","1"
"cat","hippo","1"
"cat","panda","1"
"cat","camel","1"
"cat","alligator","1"
"cat","seal","1"
"cat","llama","1"
"cat","lamb","1"
"cat","beaver","1"
"cat","tigers","1"
"cat","owl","1"
"cat","liger","1"
"cat","mountain.lion","1"
"cat","hedgehog","1"
"cat","kitten","1"
"cat","snakes","1"
"cat","fly","1"
"cat","turlte","1"
"cat","cricket","1"
"cat","lions","1"
"cat","ant.eater","1"
"cat","girafe","1"
"cat","crocodile","1"
"cat","elk","1"
"cat","grasshopper","1"
"cat","aligator","1"
"cat","cheeta","1"
"cat","quail","1"
"cat","lady.bug","1"
"dog","cat","1"
"dog","elephant","1"
"dog","monkey","1"
"dog","chicken","1"
"dog","donkey","1"
"dog","rat","1"
"dog","bird","1"
"dog","snake","1"
"dog","buffalo","1"
"dog","cow","1"
"dog","pig","1"
"dog","shark","1"
"dog","fish","1"
"dog","penguin","1"
"dog","bears","1"
"dog","mouse","1"
"dog","deer","1"
"dog","zebra","1"
"dog","lion","1"
"dog","tiger","1"
"dog","fox","1"
"dog","horse","1"
"dog","ant","1"
"dog","dolphin","1"
"dog","kangaroo","1"
"dog","racoon","1"
"dog","spider","1"
"dog","squirrel","1"
"dog","polar.bear","1"
"dog","lizard","1"
"dog","whale","1"
"dog","baboon","1"
"dog","gorilla","1"
"dog","squirell","1"
"dog","frog","1"
"dog","duck","1"
"dog","cheetah","1"
"dog","bee","1"
"dog","wolf","1"
"dog","bat","1"
"dog","leopard","1"
"dog","koala","1"
"dog","tigers","1"
"dog","bug","1"
"dog","goose","1"
"dog","ladybug","1"
"dog","robin","1"
